n_types,n_tokens,sample_id
74,100,1
127,200,1
184,300,1
244,400,1
306,500,1
330,600,1
338,700,1
395,800,1
419,900,1
454,1000,1
453,1000,1
767,2000,1
954,3000,1
1200,4000,1
1416,5000,1
1602,6000,1
1751,7000,1
1829,8000,1
2002,9000,1
2122,10000,1
2113,10000,1
3123,20000,1
3960,30000,1
4590,40000,1
5008,50000,1
5484,60000,1
5828,70000,1
6266,80000,1
6500,90000,1
6900,100000,1
6827,100000,1
9142,200000,1
10666,300000,1
11815,400000,1
12751,500000,1
13598,600000,1
14342,700000,1
73,100,2
130,200,2
174,300,2
231,400,2
262,500,2
307,600,2
361,700,2
398,800,2
428,900,2
456,1000,2
435,1000,2
776,2000,2
1007,3000,2
1217,4000,2
1345,5000,2
1631,6000,2
1694,7000,2
1851,8000,2
2027,9000,2
2068,10000,2
2153,10000,2
3181,20000,2
3867,30000,2
4478,40000,2
5049,50000,2
5435,60000,2
5842,70000,2
6278,80000,2
6509,90000,2
6801,100000,2
6850,100000,2
9161,200000,2
10574,300000,2
11770,400000,2
12826,500000,2
13635,600000,2
14365,700000,2
73,100,3
140,200,3
169,300,3
233,400,3
286,500,3
314,600,3
344,700,3
376,800,3
451,900,3
461,1000,3
461,1000,3
718,2000,3
999,3000,3
1196,4000,3
1412,5000,3
1576,6000,3
1697,7000,3
1892,8000,3
2004,9000,3
2137,10000,3
2136,10000,3
3164,20000,3
3910,30000,3
4455,40000,3
5007,50000,3
5424,60000,3
5882,70000,3
6237,80000,3
6512,90000,3
6834,100000,3
6903,100000,3
9206,200000,3
10646,300000,3
11868,400000,3
12859,500000,3
13612,600000,3
14344,700000,3
79,100,4
126,200,4
180,300,4
235,400,4
277,500,4
313,600,4
332,700,4
388,800,4
421,900,4
486,1000,4
455,1000,4
723,2000,4
1002,3000,4
1223,4000,4
1366,5000,4
1539,6000,4
1735,7000,4
1833,8000,4
1973,9000,4
2160,10000,4
2151,10000,4
3168,20000,4
3914,30000,4
4569,40000,4
5046,50000,4
5503,60000,4
5947,70000,4
6286,80000,4
6600,90000,4
6859,100000,4
6855,100000,4
9228,200000,4
10666,300000,4
11837,400000,4
12770,500000,4
13621,600000,4
14322,700000,4
80,100,5
123,200,5
186,300,5
235,400,5
264,500,5
323,600,5
349,700,5
396,800,5
424,900,5
450,1000,5
458,1000,5
739,2000,5
981,3000,5
1207,4000,5
1375,5000,5
1549,6000,5
1678,7000,5
1837,8000,5
1952,9000,5
2112,10000,5
2151,10000,5
3188,20000,5
3932,30000,5
4442,40000,5
5005,50000,5
5450,60000,5
5997,70000,5
6267,80000,5
6572,90000,5
6875,100000,5
6961,100000,5
9146,200000,5
10623,300000,5
11864,400000,5
12809,500000,5
13637,600000,5
14351,700000,5
82,100,6
144,200,6
181,300,6
233,400,6
291,500,6
318,600,6
340,700,6
372,800,6
419,900,6
449,1000,6
444,1000,6
758,2000,6
975,3000,6
1169,4000,6
1401,5000,6
1591,6000,6
1720,7000,6
1864,8000,6
1998,9000,6
2141,10000,6
2131,10000,6
3139,20000,6
3812,30000,6
4554,40000,6
5035,50000,6
5410,60000,6
5880,70000,6
6248,80000,6
6618,90000,6
6857,100000,6
6841,100000,6
9159,200000,6
10752,300000,6
11898,400000,6
12808,500000,6
13657,600000,6
14351,700000,6
77,100,7
134,200,7
176,300,7
244,400,7
278,500,7
318,600,7
363,700,7
400,800,7
422,900,7
471,1000,7
461,1000,7
747,2000,7
1018,3000,7
1185,4000,7
1435,5000,7
1557,6000,7
1717,7000,7
1882,8000,7
2005,9000,7
2103,10000,7
2147,10000,7
3099,20000,7
3788,30000,7
4450,40000,7
4992,50000,7
5470,60000,7
5902,70000,7
6243,80000,7
6609,90000,7
6829,100000,7
6968,100000,7
9113,200000,7
10708,300000,7
11870,400000,7
12854,500000,7
13610,600000,7
14351,700000,7
81,100,8
135,200,8
194,300,8
229,400,8
272,500,8
317,600,8
331,700,8
373,800,8
399,900,8
453,1000,8
455,1000,8
732,2000,8
1024,3000,8
1236,4000,8
1355,5000,8
1567,6000,8
1806,7000,8
1898,8000,8
2032,9000,8
2168,10000,8
2107,10000,8
3142,20000,8
